name	geneName	logFC	AveExpr	t	P.Value	adj.P.Val	B	CTBvsEPI
ENSG00000203909.3_73353062_73354295	DPPA5	25.6574366621558	-6.93493547777406	25.21882328145	5.81368097796578e-28	3.41420042792996e-23	53.2748276403223	-25.6574366621558
ENSG00000212993.5_127322183_127420066	POU5F1B	19.150240600337	-10.7727578474239	20.3003213846262	4.1808265141062e-24	1.22763699346957e-19	44.2493583739439	-19.150240600337
ENSG00000256969.1_4020977_4026658	AC007207.2	24.2883055779627	-6.93302271302311	19.8612537188801	1.0049918489832e-23	1.66138763973496e-19	43.3576762621103	-24.2883055779627
ENSG00000251027.1_106815197_107011014	LINC01950	21.7819374698412	-9.51412021418273	19.802445383033	1.13160055152483e-23	1.66138763973496e-19	43.2370419999609	-21.7819374698412
ENSG00000225746.11_100894770_101038859	MEG8	23.4041052255988	-6.83156321273254	19.2329124551258	3.62385888240774e-23	4.25636721174318e-19	42.0536904100934	-23.4041052255988
ENSG00000228624.7_113969701_114471705	HDAC2-AS2	22.6769287832321	-7.49191993062138	17.6090497916313	1.16888883945646e-21	1.14408891457933e-17	38.5219677216993	-22.6769287832321
ENSG00000164265.8_147870682_147882191	SCGB3A2	23.6015150543121	-7.95599176139949	16.9116937338769	5.6018649279425e-21	4.69972459461827e-17	36.9288517724219	-23.6015150543121
ENSG00000143494.15_212950520_212992037	VASH2	22.6673504398424	-8.48739820223567	16.7605728772338	7.91682334615823e-21	5.81164105812293e-17	36.5772249540671	-22.6673504398424
ENSG00000219445.2_125229579_125264291	AC019155.2	20.1844819368565	-9.64789680697816	16.1935458336123	2.9591107313178e-20	1.93088551020111e-16	35.2369526514393	-20.1844819368565
ENSG00000276919.1_100829350_100829454	RF01872	16.5903042049908	-10.591489734449	15.7917834543774	7.68536795097482e-20	4.51338603656898e-16	34.2668425483802	-16.5903042049908
ENSG00000251815.1_25099499_25099594	SNORD116-26	15.7785026875729	-12.3853281535284	15.0746591866049	4.40861773872268e-19	2.35368085401788e-15	32.4915664097417	-15.7785026875729
ENSG00000230798.5_63320884_63324441	FOXD3-AS1	21.7748898405071	-9.51749081951644	14.589451736788	1.48491668761551e-18	6.96108681055839e-15	31.2576388665119	-21.7748898405071
ENSG00000235602.5_8133772_8134849	POU5F1P3	17.6335791472864	-11.4981176727959	14.5693651276105	1.56238023928761e-18	6.96108681055839e-15	31.2059733766701	-17.6335791472864
ENSG00000099954.18_17359949_17558149	CECR2	17.8606339973142	-10.6928326781991	14.5455769471581	1.65946183778871e-18	6.96108681055839e-15	31.1447263772721	-17.8606339973142
ENSG00000181449.3_181711924_181714436	SOX2	18.5711885000617	-11.0496958084251	14.3232790105033	2.92413155974211e-18	1.13221985876445e-14	30.5691905356258	-18.5711885000617
ENSG00000250328.5_122436497_122479087	MGC32805	21.1698136109815	-9.80687510320259	14.3024181797525	3.08470000855334e-18	1.13221985876445e-14	30.5148841267013	-21.1698136109815
ENSG00000165821.11_21521081_21537216	SALL2	20.1070490897765	-10.3151537872571	14.0577269757242	5.79677416251725e-18	2.00251268377736e-14	29.8740487909576	-20.1070490897765
ENSG00000232301.2_101299578_101301346	LNCPRESS1	23.3947771318626	-7.33103645393018	13.9831424515355	7.03569838830234e-18	2.23261299247046e-14	29.6773008854299	-23.3947771318626
ENSG00000197721.16_207645113_207738416	CR1L	21.6984864036747	-9.55403159365367	13.9730348624148	7.22319322576306e-18	2.23261299247046e-14	29.6505867708026	-21.6984864036747
ENSG00000109255.11_55595229_55636698	NMU	21.6591397118379	-9.57284957670606	13.9202723292584	8.28779474934264e-18	2.43358661122323e-14	29.5109381493243	-21.6591397118379
