name	geneName	logFC	AveExpr	t	P.Value	adj.P.Val	B	D12vsD7
ENSG00000138172.10_103446786_103452402	CALHM2	-22.461017953312	-7.59225298477413	-20.5194406317345	9.89838695313708e-26	5.81302570596881e-21	15.8187158808444	22.461017953312
ENSG00000197614.10_8637346_8662888	MFAP5	-21.3817067334669	-6.89869972916384	-16.2454581075395	2.20718606685891e-21	6.48107080742117e-17	5.63184746493242	21.3817067334669
ENSG00000105894.11_137227341_137343865	PTN	2.75837349990241	6.42156645180551	14.5134429529588	2.19001237052755e-19	4.28709521613238e-15	0.959741239709651	-2.75837349990241
ENSG00000132475.10_75776434_75785893	H3F3B	2.03122365836229	7.51949625164755	14.0646963167225	7.6323113843039e-19	1.12055687666504e-14	-0.308262235649529	-2.0312236583623
ENSG00000120675.5_43023203_43114224	DNAJC15	3.15548796631152	3.17745812009961	13.861448710211	1.35437727478363e-18	1.59077028432436e-14	-0.890639679374573	-3.15548796631152
ENSG00000107798.17_89213569_89414557	LIPA	-19.5028356398	-6.78888937079199	-13.5104869693307	3.69033459501184e-18	3.612037996021e-14	-1.90826589991559	19.5028356398
ENSG00000164111.14_121667955_121697113	ANXA5	-1.96500825888519	8.26084664062811	-13.2519063792776	7.79963879933297e-18	6.5435626824061e-14	-2.6678374529609	1.96500825888519
ENSG00000168394.11_32845209_32853978	TAP1	-20.2069654865618	-7.97066141941919	-12.7583070173286	3.33165182879948e-17	2.31072796534995e-13	-4.14111040788682	20.2069654865618
ENSG00000167634.12_54923509_54966312	NLRP7	6.83375918339422	3.55811735042374	12.7377965717611	3.54122493710722e-17	2.31072796534995e-13	-4.20299589370722	-6.83375918339422
ENSG00000111669.14_6867119_6870948	TPI1	1.03082498229825	9.81030231746922	12.4967601231934	7.28213921487989e-17	4.27658189672251e-13	-4.93427159357091	-1.03082498229825
ENSG00000154040.20_24138956_24161603	CABYR	-20.2070143247005	-8.20057921863505	-12.2215523534495	1.673841712286e-16	8.93633656703816e-13	-5.77826215794529	20.2070143247005
ENSG00000166794.4_64155812_64163205	PPIB	-1.54014253366618	9.14442418077121	-12.1149218583953	2.31686459636504e-16	1.13385422625608e-12	-6.10786565736428	1.54014253366618
ENSG00000100505.13_50975262_51096061	TRIM9	-18.0791545472271	-8.5949626837309	-11.6100075860606	1.10178556325989e-15	4.97727390565873e-12	-7.68827540238222	18.0791545472272
ENSG00000163283.6_232378534_232382889	ALPP	17.8935773219378	-6.17017316638576	11.3672242560598	2.35942926667193e-15	9.89730018170305e-12	-8.45973582106109	-17.8935773219378
ENSG00000236279.6_139523856_139544984	CLEC2L	-17.5158142226155	-9.10070685383074	-11.1856558515425	4.19068044735706e-15	1.64070727087959e-11	-9.04154709846725	17.5158142226155
ENSG00000103489.11_17101769_17470881	XYLT1	-18.0518751007231	-10.4481409895707	-10.9978856079243	7.62452261335143e-15	2.79853337196431e-11	-9.64758178363045	18.0518751007231
ENSG00000179218.13_12938578_12944489	CALR	-2.06156771838133	7.65475358632082	-10.6037016835402	2.71773029487328e-14	9.38847923688373e-11	-10.9340490045441	2.06156771838133
ENSG00000145703.15_76403249_76708132	IQGAP2	18.2359516667274	-7.32586983232091	10.5652405792311	3.07978472414116e-14	9.7111447130945e-11	-11.0605913143544	-18.2359516667274
ENSG00000244675.2_194496317_194501503	AC108676.1	-18.5319656602728	-7.46364068789018	-10.559109330821	3.14185552724974e-14	9.7111447130945e-11	-11.0807805556066	18.5319656602728
ENSG00000117228.9_89052319_89065360	GBP1	-18.9254999175821	-7.39170418972458	-10.4804343164424	4.06036882127533e-14	1.16827192462743e-10	-11.340248728661	18.9254999175821
ENSG00000007062.11_15963076_16084378	PROM1	18.7912791046301	-4.47324130300972	10.4717181722049	4.17758618985748e-14	1.16827192462743e-10	-11.3690403196949	-18.7912791046301
ENSG00000276850.4_47908064_47991850	AC245041.2	18.3891482005821	-4.60057631150251	10.2392801404543	8.95445623200006e-14	2.39031068698485e-10	-12.1401935671671	-18.3891482005821
ENSG00000099139.13_75890644_76362339	PCSK5	-16.5243019619799	-7.29151471838115	-10.2105498320538	9.84388229574499e-14	2.51348554600963e-10	-12.2359564292554	16.5243019619799
ENSG00000135549.14_122471917_122726373	PKIB	-3.15403444567972	6.44227685456123	-10.1811364272079	1.08471771100365e-13	2.65425904225464e-10	-12.3340966551755	3.15403444567972
ENSG00000171451.13_67506582_67516980	DSEL	-17.1655039640079	-6.72496120569884	-10.1540184809131	1.18636432425462e-13	2.78686470682003e-10	-12.4246677066494	17.1655039640079
ENSG00000117394.21_42925375_42959176	SLC2A1	2.06149337331085	9.37259402627349	10.1194086326965	1.33021861306705e-13	2.9827699844276e-10	-12.5403856614754	-2.06149337331085
ENSG00000100311.16_39223359_39244751	PDGFB	-18.8026690199761	-6.78755819460441	-10.1102089710377	1.37134179473743e-13	2.9827699844276e-10	-12.5711681837178	18.8026690199761
ENSG00000070961.15_89588049_89709300	ATP2B1	3.38535550793243	4.21033729168807	10.0614662396522	1.61167615083577e-13	3.38031804679044e-10	-12.734427683811	-3.38535550793243
ENSG00000109205.16_70196496_70204576	ODAM	19.3804181745214	-7.08358545053368	10.014833071136	1.88144180090431e-13	3.77064968934248e-10	-12.890878473943	-19.3804181745214
ENSG00000102996.4_58025566_58046901	MMP15	-16.1623767470427	-7.99624820284209	-10.007756929782	1.92619222300261e-13	3.77064968934248e-10	-12.914640277117	16.1623767470427
ENSG00000149043.16_1828307_1837521	SYT8	-18.483239425086	-8.64512283810683	-9.94159415386592	2.40037554268613e-13	4.54731788694607e-10	-13.1370935801648	18.483239425086
ENSG00000138758.11_76949703_77040384	SEPT11	-2.26966577043747	4.98821658134453	-9.89792242806105	2.77646279026868e-13	5.09001555253594e-10	-13.284200594282	2.26966577043747
ENSG00000059588.9_234391313_234479103	TARBP1	-16.0580583418801	-9.812995063208	-9.88901619922193	2.86019230053785e-13	5.09001555253594e-10	-13.3142275340895	16.0580583418801
ENSG00000138821.12_102251041_102431258	SLC39A8	-17.0712870913041	-4.29700447507944	-9.87787403627418	2.96854593157534e-13	5.12746461540073e-10	-13.3518054523177	17.0712870913041
ENSG00000133065.10_205789093_205813748	SLC41A1	-16.9164500061362	-5.48210741605227	-9.76811609988913	4.28506058109483e-13	7.18996436417017e-10	-13.7227193993125	16.9164500061362
ENSG00000236333.3_72253508_72274907	TRHDE-AS1	-16.6191987829869	-12.1107691420362	-9.71484850214387	5.12322640456015e-13	8.35754769612788e-10	-13.9032148368937	16.6191987829869
ENSG00000084731.14_25926596_25982749	KIF3C	-16.1069917782845	-5.52268346830198	-9.63505192583264	6.69942427152534e-13	1.06334348430775e-09	-14.1741871682497	16.1069917782845
ENSG00000238142.1_16888538_16889649	BX284668.5	-16.6237567787231	-9.94468536463436	-9.57503486357206	8.20095788464238e-13	1.26741487813524e-09	-14.3784494085331	16.6237567787231
ENSG00000173641.17_16014028_16019594	HSPB7	-17.5580981375064	-11.6689341516741	-9.46395404174307	1.19367099933618e-12	1.79745427635938e-09	-14.7575222260128	17.5580981375063
ENSG00000099960.12_21028718_21032840	SLC7A4	19.3333689397523	-5.96150273646565	9.39829029865681	1.49119277507488e-12	2.15493688968132e-09	-14.982219170854	-19.3333689397523
ENSG00000154898.15_20321164_20403557	CCDC144CP	-16.4401001499302	-6.99548553793553	-9.39567968436303	1.50445983069004e-12	2.15493688968132e-09	-14.9911618355458	16.4401001499302
ENSG00000204219.10_23381061_23424740	TCEA3	-18.4037140160391	-7.51096763000551	-9.35265854401623	1.7410864653084e-12	2.40914084500045e-09	-15.1386326818551	18.4037140160391
ENSG00000277147.5_149606334_149679523	LINC00869	-17.2873936670473	-7.49837362357526	-9.34881470825326	1.76397664336709e-12	2.40914084500045e-09	-15.1518181613515	17.2873936670473
ENSG00000059804.15_7919230_7936275	SLC2A3	2.14045973359247	7.77369609138422	9.28421714057243	2.19748924559734e-12	2.93299888468625e-09	-15.3736334369714	-2.14045973359247
ENSG00000115365.11_210431249_210477652	LANCL1	-17.2022585372386	-7.86598896217242	-9.2643549996758	2.35131008355945e-12	3.06856416171547e-09	-15.4419215823681	17.2022585372386
ENSG00000197170.9_67337916_67366627	PSMD12	1.56918539689503	5.66715146650752	9.23393450116335	2.60824545970107e-12	3.32987893721446e-09	-15.5465877508604	-1.56918539689503
ENSG00000168003.16_62856102_62888875	SLC3A2	1.66599066010379	9.48787621905329	9.17410279244626	3.19931476445373e-12	3.99757783344839e-09	-15.7527179327804	-1.66599066010379
